Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
111364513689136,Eric Davanzo for State Representative of the 58th District,Friends of Eric Davanzo,794,7
11024050756,Bioneers,Bioneers,793,36
399997860992,Educators for Excellence,Educators for Excellence,793,8
479697025386367,Pennsylvania Coalition Against Domestic Violence,PENNSYLVANIA COALITION AGAINST DOMESTIC VIOLENCE,793,1
107195084166013,Haines for Senate,Michael David Haines,793,18
1486525031439794,Bergen New Bridge Medical Center,Bergen New Bridge Medical Center,791,3
107906350576063,Scott Sales,Sales for Montana,791,3
112059050148399,Eileen Marie O'Connor for Cook County Circuit Court Judge,Citizens for Eileen O'Connor,790,11
118135062791,Durham Rescue Mission,Durham Rescue Mission,790,13
120778038066631,EveryLibrary,EveryLibrary,790,7
205148492837912,We Are Ohio,We Are Ohio,789,5
190282358533070,Paul Benson Janesville City Council,Paul Michael Benson,788,13
106691907452893,Judge Judy Cates for Illinois Supreme Court,Judge Judy Cates for Supreme Court,787,20
212527089392315,Mississippi Black Women's Roundtable,Pamela Denise Berry,787,6
158021610875925,Iowa Public Radio,"Iowa Public Radio, Inc.",786,4
37618389051,United Way of Rhode Island,UNITED WAY OF RHODE ISLAND INC,786,18
87199812705,Advocates for Youth,ADVOCATES FOR YOUTH INC,786,4
391872261636792,2020unity,"ForFact LLC, DBA 2020unity",786,34
597117373778973,Addicted to Golf,The Dude's Designs,785,285
48944157124,John Curtis,Curtis for Congress,785,4
419992651425033,Guardianes del Pueblo-Consumer Law Group,These ads ran without a disclaimer,784,1
133913826633461,Grassroot Institute of Hawaii,Grassroot Institute of Hawaii,783,6
95335385742,National Fish and Wildlife Foundation,NATIONAL FISH AND WILDLIFE FOUNDATION,783,16
115794569798040,Erick Aguilar,ERICK AGUILAR CONGRESSIONAL RACE CANDIDATE,782,3
143173285763,Tenth Amendment Center,Tenth Amendment Center,780,122
312502872211924,Culture Flock,Culture Flock,780,1
617624205296968,Tim Dunn For Az House,Tim Dunn For AZ House. Authorized by Tim Dunn.,779,3
946581638742571,Maine Senate Republican Campaign,Maine Senate Republican Majority,779,12
240515435979259,Nicholas Nasibyan,Nicholas Philip Nasibyan,778,8
393260277371299,Assemblyman Jeffrey Dinowitz,Friends of Assemblyman Jeffrey Dinowitz,778,26
251252605766273,Joe Flores - County Commissioner Pct. 3,Joe Flores Campaign,777,52
30592180885,Dave Ramsey,These ads ran without a disclaimer,777,3
83960796709,Institute for Southern Studies,INSTITUTE FOR SOUTHERN STUDIES INC,777,18
106804967583587,Mont Handley for Congress,MONT HANDLEY FOR CONGRESS,776,16
117744204970039,Providence College School of Continuing Education,Providence College School of Continuing Education,776,6
263210730984251,We Are Great Again Pac,WE ARE GREAT AGAIN PAC,776,45
109788797242679,The Patriot Circle,Kin Ngai Yeung,776,14
335347887171557,Crooked Columbia,Crooked Columbia,776,24
168300694037224,Congressman Michael Cloud,Congressman Michael Cloud,775,7
109473680405586,Lance White for Judge,Lance Clark White,774,4
394317154459785,Jeff Moore For NC House,Jeff Moore For NC House,774,6
785144711668660,Our Iowa Values,Iowa Values,773,1
108204063887548,Young Leadership Coalition,Young Leadership Coalition. Not authorized by any candidate or candidate’s committee.,773,5
102542207770711,Tad Brenner for Judge,James R Gough,773,13
110437930502469,Dan Wilson for Congress,Dan Wilson for Congress,772,46
127225910653607,PragerU,These ads ran without a disclaimer,772,1
265045056894488,Mark Meckler,Convention of States Action,772,1
110471827008033,Jason Auerbach for Alderman,Jason For 14,771,18
103214524540676,Thomas Wright for Governor,Thomas Wright for Governor,771,7
114872923253374,Jason Salmon for New York,Jason Salmon for New York,771,5
419120522242096,Buddy for NC,Buddy for NC,770,3
185740015159478,340B Matters,340B Matters,770,36
179145905973075,Sophie Ratner Jewelry,Sophie Ratner Jewelry,770,20
106942680722466,Linda Sun for Judge,Linda Sun for Judge 2020,770,2
1954814868125292,Nadia Rahman 駱雯,Nadia Rahman for Democratic County Central Committee 2020. FPPC#: 1423021 Financial disclosures are available at sfethics.org.,769,6
174095611084,Columban Center for Advocacy and Outreach,Columban Center for Advocacy and Outreach,768,11
172756986111825,Capsa,"CITIZENS AGAINST PHYSICAL AND SEXUAL ABUSE, INC.",767,5
336440323158789,Jack Burkman Radio,Jack Burkman Radio,767,3
229990273742684,Comisión Estatal de Elecciones de Puerto Rico,Comisión Estatal de Elecciones de Puerto Rico,767,11
27426328640,Chris Jenkins for Mayor of West Bend,Christopher Edwin Jenkins,766,8
102746704505022,Brad Maaske For Tulare County Supervisor,Maaske for Supervisor 2020. FPPC#1421887,766,4
102773717835610,Citizens for a Safe Chico,Citizens for a Safe Chico,766,6
110610500336792,Elect Judge Teresa Molina,Friends of Judge Teresa Molina,766,2
211528923644,Iowa Senate Majority,Iowa Democratic Party,765,3
584370098589475,Di Tran For KY State Senate District 37,Di Tran,765,17
182060321835350,Iowa Association for Justice,IOWA ASSOCIATION FOR JUSTICE,765,6
153806571326997,Greenyc,NYC Mayor's Office of Sustainability,765,30
105735397284,United States Conference of Catholic Bishops,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,764,11
102702317847173,Elena Condes for Judge 2020,Committee to Elect Elena Condes for Alameda County Judge 2020 FPPC # 1421918,764,1
519747661399543,Johnathon Ervin,Johnathon L Ervin,764,12
1691889757753434,"Michael Schostak, Bloomfield Twp Trustee",Michael Edward Schostak,764,4
1511412998966651,Altamar with Peter Schechter and Muni Jensen,Altamar LLC,763,17
101333581405963,Kim Good for Treasurer,Elect Kim Good for Treasurer,762,14
227813534020769,Monica Garcia,Monica Garcia for City Council 2020,762,23
149533805741580,A Better Dane County,A Better Dane County,761,17
106304487547349,Beth Seibert For Commissioner,Committee to Elect Beth Seibert,761,1
113051076740752,David Willingham for Cobb County State Court,Friends of Willingham for Cobb State Court,760,13
170309409666124,Bellefontaine Cemetery and Arboretum,Linda Christine Gaal,760,6
105623264255576,Ben Grant for State Representative,Committee to Elect Ben Grant,759,25
125649561365522,J.D. Scholten,SCHOLTEN4IOWA CAMPAIGN COMMITTEE,759,5
120075422727410,Brian Holt for Wisconsin,Brian Holt for Wisconsin,759,1
110257623864359,Cool Mud Flaps,"OHIO LASER, LLC",759,4
63913975788,PA Budget and Policy Center,KEYSTONE RESEARCH CENTER INC,758,9
95818479902,Planned Parenthood of Greater New York Action Fund,Planned Parenthood of New York City,758,1
148306605193993,Blue Shield of California,Lawrence Joseph Sepe,757,6
198365307706211,Illegal The Project,Illegal The Project,757,32
323991457811594,Josh Schoemann for County Executive,Friends of Josh Schoemann,757,12
815410965174024,Troy Brimage for Texas,Troy Brimage Campaign,756,11
296442367547655,Elect Robin Litaker Alabama Public Service Commission,Robin Ann Litaker,756,4
117684604922023,Regional Recycling and Waste Reduction District,Regional Recycling and Waste Reduction District,756,12
532623920123303,Elect Eric Garza for Sheriff of Cameron County,Eric  Garza,756,6
367224893316691,Roger Gaylord,Roger Gaylord,756,22
103234637950296,Forward California,Forward California,755,10
106057314272972,Janevette Cole for Alameda County Board of Education 2020,Janevette Cole for Board of Education Trustee 2020,755,2
1525838977485952,Will Cunningham for New Jersey,TRUE DEMOCRATS FOR CUNNINGHAM,755,37
1563790667070489,"Natasha Marcus, NC Senate District 41",Friends of Natasha Marcus,754,45
102599504628933,Vote John Frey,John Frey for County Commissioner,754,8
100175441384536,Daniel Lee - Family Law Attorney,Daniel Lee for 505th District Court Campaign,754,8
110823813831113,C. Antonio Delgado for Congress,Antonio Delgado for Congress,754,2
113005536951767,Planted,Andrew West Gardner,754,19
167325783398339,Re-elect Cindy R. Svanda,Cindy R Svanda,754,10
8145161702,Lambda Legal,"LAMBDA LEGAL DEFENSE & EDUCATION FUND, INC.",753,2
76025018070,San Francisco-Marin Food Bank,San Francisco-Marin Food Bank,753,20
109784093976549,Military Earplug Settlements,These ads ran without a disclaimer,753,7
100861051287168,Ricky Gandhi for State Representative IL-32,Friends of Ricky Gandhi,751,17
809098559256176,Congressman Ron Estes,Office of Congressman Ron Estes,750,3
72066617958,City of Chesapeake Government,"CHESAPEAKE, CITY OF",750,3
499216136783347,Airlines for America,Airlines for America,750,1
169561162745,The National Wild Turkey Federation,"NATIONAL WILD TURKEY FEDERATION, INC.",750,2
940653386126953,Standingwithyou.org,Standing With You,750,1
1377899069152090,Rep. Jonathon Hill,Jonathon Hill for SC House District 8,750,2
110692153736600,Javin Cripps for Circuit Court Judge,Javin Cripps for Circuit Court Judge,750,5
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,750,18
328065780936817,Forest Fire Facts,Forest Fire Facts,750,47
575991459097167,International Partnership for Microbicides,International Partnership for Microbicides,749,3
1937439033250225,Rodolfo Cortes Barragan for Congress,Rodolfo Cortes Barragan,749,2
49421708941,Americans for Limited Government,"Americans for Limited Government, Inc.",749,3
365591516828390,Georgia's WIN List,Georgia WIN List,747,23
9316648525,The Chicago School of Professional Psychology,TCS Education System,747,7
161744203910737,Maggie's List,MAGGIE'S LIST,747,30
165364270823448,Aaron Lieberman for Arizona,Elect Aaron Lieberman. Authorized by Aaron Lieberman.,747,77
52412809078,Santa Barbara Rescue Mission,SANTA BARBARA RESCUE MISSION,746,9
101839207932843,Rachel Rossi for DA,Rachel Rossi for District Attorney,745,7
1333129930100627,Eric Brakey for Congress,BRAKEY FOR CONGRESS,745,22
309607023070660,Jennifer O'Donnell for Judge,Friends of Jennifer O'Donnell,744,10
101645494657056,Social Justice Democrats,SF Social Justice Democrats,743,4
107928700595443,Lisa Forbes for Judge,Forbes for Judge,743,9
107925864067328,RightSize2020,RightSize2020,743,15
745910525468062,National Center on Sexual Exploitation,National Center on Sexual Exploitation,743,5
106317604053674,"Isaac Barron for County Commission, District D",Friends for Isaac Barron,742,4
257579082898,Stand for Children - Washington,Stand for Children,742,5
101764731334754,Redd for PA,Redd for PA,742,19
314463908651,After Fifty Living,Joanne Sullivan Lema,741,10
106120240940046,Zaehringer 4 Judge,George Martin Zaehringer,741,14
104485320965024,Hambrick 4 Rockdale Sheriff,Hambrick 4 Rockdale Sheriff,741,11
1272363932926382,Singhal for Justice,Samhita None Shah,741,8
515736098489524,Kansen Chu for Supervisor 2020,Kansen Chu,740,6
2245270729070937,Citizenship and Science Academy of Rochester Charter School,Science Academies of New York,740,1
121731445898409,I Love Great Deals,Roberto None Lugo,740,30
108237717233501,George Flint for 401st District Court Judge,George Flint Judicial Campaign,740,7
101481584557260,Help Asheville Bears-HAB,Heather Christina Williams,739,5
41182871633,National Museum of American Jewish History,National Museum of American Jewish History,739,16
1555020631394957,American Jewish University - AJU,American Jewish University,738,8
223081084566382,Spectrum News San Antonio,Spectrum News,737,30
692220144192046,Empower Mississippi,Empower Mississippi,737,16
151057528363990,Mission Springs Water District,Mission Springs Water District,737,4
101793484592682,Monica Gordon for State Senate,Friends of Monica Gordon,737,4
277284509503566,Toole for NC,TOOLE FOR NC,736,5
118091971569342,Spectrum News Austin,Spectrum News,736,31
284561131891923,Skip Daly,Daly for Assembly District 31,735,3
103987634439727,Marilyn Strickland,STRICKLAND FOR WASHINGTON,735,10
2493609357370582,Rae Yawer for State Senate,Friends of Rae Yawer,735,5
100295068246240,Salt Lake County Census,These ads ran without a disclaimer,734,6
134152393622036,Jay Edwards State Rep,Friends of Jay Edwards,734,5
104228797863918,ByeDon 2020,Byedon 2020,733,21
114775398550878,AARP Michigan,AARP,732,13
305483639616414,Gary Gates for Texas,Gary Gates for Texas,732,4
111462767009343,Kani Hightower for Judge - Domestic Relations Court,Hightower For Judge,732,18
101087128110408,Doug Wilde for Rock County Supervisor District 23,Douglas Scott Wilde,731,14
159085947564255,American Sugar Alliance,American Sugar Alliance,731,4
339666813315651,Howie Hawkins 2020,HOWIE HAWKINS 2020,731,5
107053690842532,ABT 2020,ABT 2020,730,4
278487153675,Redneck Nation Clothing,Tracie Milliron Gold,729,7
514442968569467,Northern Illinois Food Bank,NORTHERN ILLINOIS FOOD BANK,729,10
101665591443328,"Fugazi 4 Assembly 2020 for Safe Communities, Great Schools","Fugazi 4 Assembly 2020 for Safe Communities, Great Schools and a Clean Environment, by nonprofit advocates for educational equity",729,4﻿
122177661170978,NewsOne,"INTERACTIVE ONE, LLC",728,11
313337408863250,"Randall Kallinen, Civil Rights Attorney",These ads ran without a disclaimer,728,1
546244689055708,Beacon,MAINE PEOPLE'S ALLIANCE INC,728,17
158417920848315,Scott Martin,Friends of Scott Martin,727,3
103560924511877,Shawn Rolland for Milwaukee County Board of Supervisors District 6,Friends for Shawn Rolland,726,5
325551154162360,Massachusetts Fiscal Alliance,Massachusetts Fiscal Alliance,726,1
107545633933686,Delia Haak for State Representative,Delia Haak for State Representative,725,20
173214927702,"John Dennis for Congress, San Francisco, District 12",JOHN DENNIS FOR CONGRESS,725,3
105781631046781,Centre for Environmental Policy - Imperial College London,These ads ran without a disclaimer,724,9
873991326308987,Justice John Hutchison,Committee to Keep Justice Hutchison,722,16
372439495935,Mel Trotter Ministries,MEL TROTTER MINISTRIES,721,91
1862511410671222,Dana Ferguson for US Congress,FRIENDS OF DANA FERGUSON,721,12
56278751849,Mid-America Regional Council,MID-AMERICA REGIONAL COUNCIL,720,9
432089047618892,Maria Cantú Hexsel for Judge,Maria for Judge,720,4
403921823732817,Rolling Farms Wind Project,Tradewind Energy,720,15
428197401302854,Boatman for Congress,BOATMAN FOR CONGRESS,719,5
103567511091367,Peter for North Carolina,Committee to Elect Peter McClelland,717,2
472433146233080,Dianne Harman,These ads ran without a disclaimer,716,12
112734346939643,Vote Steve Demitro for Judge,Committee to Elect Steve Demitro for Judge,716,22
119738752755412,Disobey Vape,Renzo Garcia,715,3
1180195088672333,Chris Nobile - North Andover Selectman,Committee to Elect Chris Nobile,715,12
357844454633380,Dan Whitfield for Senate 2020,DANWHITCONGRESS,714,11
6334782252,Oceana,OCEANA,713,13
77903485992,Concerned Women For America LAC,CONCERNED WOMAN FOR AMERICA LEGISLATIVE ACTION COMMITTEE,713,4
106326450917687,YES on Measure US-Great Sulphur Springs Schools for All of Us,"Yes on Measure US for Academic Excellence, New Classrooms, and Improved School Safety",713,30
614134231980299,Veterans Empowered To Protect African Wildlife,VETPAW INC,713,8
1653251174924652,Fuzzu,Fuzzu,712,6
934327493375366,Community Not Commodity,Save Our City Austin,712,3
22297132269,United Way for Southeastern Michigan,United Way for Southeastern Michigan,712,3
468445316654397,Texans For Stovall,TEXANS FOR STOVALL,711,3
44948378512,Destiny Image Publishers,"DESTINY IMAGE, INC.",711,3
1486604288305133,Happy Earth Apparel,These ads ran without a disclaimer,711,4
118379493631,Episcopal Relief & Development,EPISCOPAL RELIEF AND DEVELOPMENT,711,15
115214463217037,Samantha Simpson for Illinois State Representative District 31,Friends of Samantha Simpson,710,5
33699882778,Dr. Bronner's,Dr. Bronner's,710,8
106930264209460,One Tough Sheriff,ONETOUGHSHERIFF,710,2
40205178389,Oklahoma Policy Institute,Oklahoma Policy Institute,708,7
340755133296437,Mark Gonsalves for Congress,MarkCongress2020,708,5
333202058536,Vote For Issue 33,Elaine Elizabeth Schleiffer,708,3
109477057219125,Christine Win for Clayton School Board,Christine Louise Win,707,5
152068302046,Oklahoma Second Amendment Association,Oklahoma Second Amendment Association,707,10
460236704351535,Tracy Mitrano,TRACY MITRANO FOR CONGRESS,707,26
106874877550275,Tricia Hise for State Senate,Tricia Lynne Hise,707,26
101430574713012,"Chuck Meyer  for Justice, 9th Court of Appeals, Texas",Charles B Meyer,707,16
170770243344396,"Gainesville, FL Local",These ads ran without a disclaimer,706,4
639583416438237,Washburn County Health Department,"WASHBURN, COUNTY OF",706,1
431574684286070,"Melissa Jordan, Delaware County Recorder",The Committee to Elect Melissa Jordan,705,17
316498251698370,Adam Gray for Assembly,Gray for Assembly 2020,704,6
107334019308912,Olive Crest - USA,OLIVE CREST,704,101
152468768124240,2-1-1 San Diego,INFO LINE OF SAN DIEGO COUNTY,704,1
103801844298982,Team Collins,COLLINS FOR SENATOR,704,4
459917967443818,Stephanie Potter Barrett for Court of Appeals,Stephanie Potter Barrett Court of Appeals Campaign,704,4
204623453392865,Angelica Dueñas for Congress - CA29,ANGELICA DUENAS FOR CONGRESS 2020,702,7
109167217167618,"Stephanie Charter for Family Court Judge, Dept. Y",Committee to Elect Stephanie Charter for Family Court Judge,702,6
526816887691591,NO New Oklahoma TAXES,"No New Oklahoma Taxes, Inc.",702,1
151688955001412,Denyc Boles,Friends of Denyc Boles,702,8
150461148299523,UCSF,"University of California, San Francisco",701,16
1754034854890885,Joseph Sanchez for Congress,JOSEPH SANCHEZ FOR CONGRESS,701,8
59386210330,American Lung Association,AMERICAN LUNG ASSOCIATION,700,2
116789554394,Illinois House Republican Organization,Illinois House Republican Organization,700,2
117780971929,Florida LGBTQ Democratic Caucus,Florida LGBTQ+ Democratic Caucus,700,9
251512801547984,Ken King,Ken King for State Representative,700,2
22698035171,Forterra NW,FORTERRA,700,76
470696860409500,Alp Basaran for Congress,Alp Basaran for Congress,700,3
941154729292673,West Virginia Term Limits,U.S. Term Limits Inc.,700,3
194038518184737,Vote4Haynes,Committee To Elect Benjamin Haynes Sheriff,700,9
233431773370174,Chris Paddie For Texas,Texans for Chris Paddie,700,3
239149449446107,Americans For Prosperity - Missouri,AMERICANS FOR PROSPERITY,700,7
2169986863254394,Rep. Gil Cisneros,Rep. Gil Cisneros,700,3
452797224923658,Democratic Coalition Against Trump,THE DEMOCRATIC COALITION,699,29
280285049085,Homes.com,Homes.com,699,4
474628202569962,Rescue:Freedom International,RESCUE: FREEDOM INTERNATIONAL,699,3
171524799646807,PA Department of State,Pennsylvania Department of State,698,8
374108446391390,Ted Howze for Congress,TED HOWZE FOR CONGRESS 2020,698,11
108622260704686,Dan Ryan,Dan Ryan for Portland,698,3
113040043498170,Tulcan For Judge 2020,Tulcan for Judge 2020,698,5
283627317761,Atlanta Mission,ATLANTA UNION MISSION CORPORATION,697,118
121376145229752,Chad Chronister,Sheriff Chad Chronister Campaign,697,2
216311481960,Bill Gates,These ads ran without a disclaimer,697,3
40102638699,J Street,J STREET INC,696,15
297078991173210,Wilgus for Judge,Wilgus for Judge Committee,696,14
118363268823600,Andrew F. Kotyuk Republican for Assembly,Kotyuk for State Assembly 2020,695,5
268439166935033,Happy Sloth Co.,These ads ran without a disclaimer,694,2
300810614146484,Worker Freedom,Pacific Research Institute,693,3
108235167458331,Fair Tax for Timeshares,Fair Tax for Timeshares,693,2
2266444033567875,Grump Merch,Grump Merch,693,14
2250676278319517,Re-Elect Judge Pearson,The Committee to Re-Elect Judge Pearson,692,8
794389460577831,ABOLISH Movement,These ads ran without a disclaimer,692,1
49560242814,Consumer Energy Alliance,CONSUMER ENERGY ALLIANCE,692,12
148295041876525,ACLU of Connecticut,"American Civil Liberties Union of Connecticut, Inc.",692,7
108612092492163,Elect Ilene Shapiro,Elect Ilene Shapiro,692,4
276967979123378,Dario Anselmo for Hennepin Commissioner,Dario Anselmo for Commissioner,691,12
77459136187,Gavin Rollins,GAVIN ROLLINS FOR CONGRESS,691,3
227814397416402,Delia Garza,Delia Garza Campaign,691,1
111726193712480,Real Reform Louisiana,Real Reform Louisiana,691,10
160900263931921,James Barrett,Barrett for Schools,690,4
201983883741018,Dr. Brittany Keyes,Brittany Joy Keyes,689,2
861272160620347,Texas Realtors PAC,Texas Realtors PAC,689,2
1513565128883657,Fair Health Care VA,Fair Health Care VA,687,4
278509982187064,City of Las Cruces Government,"LAS CRUCES, CITY OF",687,5
1033693476679014,Rep. Casey Weinstein,Friends of Casey Weinstein,687,12
2087354264898344,Humane Society Legislative Fund of Iowa,Humane Society Legislative Fund of Iowa,687,6
102152494750003,Ginny Burdick for Senate District 18,Friends of Ginny Burdick,686,38
102667081269328,Brandon A Meredith for Kankakee County Auditor,Brandon A Meredith,686,6
106638610862964,Allen Freeman for State Representative,Committee to Elect Allen Freeman,685,10
115364585711,Lawyers' Committee for Civil Rights Under Law,LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW,685,14
128684033879885,Alabama Optometric Association,Kristine Marie Jacobs,685,14
109481780520470,Brian Jones for Senate 2022,Brian Jones for Senate 2022,685,8
401144330639401,Climate Common Sense,"ENVIRONMENTAL DEFENSE FUND, INCORPORATED",685,3
309094002509441,Washoe County Republican Party,WASHOE COUNTY REPUBLICAN CENTRAL COMMITTEE,685,4
135127753212592,National Association of Chain Drug Stores (NACDS),"NATIONAL ASSOCIATION OF CHAIN DRUG STORES, INC.",684,2
591968597559569,Donald Norcross for Congress,DONALD NORCROSS FOR CONGRESS,684,24
1819658374974706,Arena,THE ARENA PAC,684,7
286020114815456,Volusia County Community Information,Katharine Louise Sark,683,4
97342588944,Children's Home Society of Florida,"CHILDREN'S HOME SOCIETY OF FLORIDA, THE",682,8
261922745636,Children's Education Alliance of Missouri - CEAM,Children's Education Alliance of Missouri,682,8
101869427978020,Year of the Planet,These ads ran without a disclaimer,682,11
138618302870134,PGC Department of the Environment,These ads ran without a disclaimer,682,2
657343731290262,American Freedom Fighter,American Freedom Fighter,681,1
294959763988051,Matt Guyette for Congress,GUYETTE FOR CONGRESS OH8,681,10
105985737434848,Gerard Moorer,Citizens for Moorer,679,13
24499197332,Horizons Foundation,HORIZON FOUNDATION,679,5
522226351139937,Archdiocese of Dubuque,"ARCHDIOCESE OF DUBUQUE, THE",678,2
105667910809372,Roberto Serna District Attorney,Roberto  Serna,677,20
100583918006300,Claire-ity,Harvester Road LLC,677,1
145167879174449,Holly Grange,Holly Grange for North Carolina,676,4
115269849746,South Carolina Democratic Party,DEMOCRATIC PARTY OF SOUTH CAROLINA,676,3
102611921329189,Herm Suplizio for State Senate,Suplizio for Senate,675,4
180008532044787,Adventure Scientists,Adventure Scientists,675,2
112367396995709,Mercer counts,Mercer County 2020 Census Committee,674,2
1092340954202973,Maya Rockeymoore-Cummings for Congress,Maya Rockeymoore-Cummings for Congress,674,28
1026007657585538,Tom Young for Circuit Judge,Campaign to Elect Thomas Young as Circuit Judge,673,5
442177416350461,Jim Kennedy for Congress,JIM KENNEDY FOR CONGRESS,673,12
297108030389933,NOVL,These ads ran without a disclaimer,673,1
187107263923,MFT 59,"Minneapolis Federation of Teachers, Local 59",672,3
1835838916635491,Transamerica Center for Health Studies,Transamerica Center for Health Studies,672,19
185650221903810,Ralph Norman for Congress,RALPH NORMAN FOR CONGRESS,672,12
109458683932700,Elect Robert Bishop,Bishop for Judge Committee,671,13
853164485062034,Matt Fridy for Court of Civil Appeals,Friends of Matt Fridy,671,4
107613497452336,California Issue Survey,Golden State Voter Participation Project,671,28
207425149422656,Ben Sasse,"BEN SASSE FOR U.S. SENATE, INC.",670,2
174046949421616,Phenomenal Woman Action Campaign,Phenomenal Woman Action Campaign,670,18
13536897444,Corporate Accountability,Corporate Accountability International,670,15
101446898176303,Healthy Good Times,ECOMX LLC,670,5
2477934522257579,U Decide App,Karen Neicy Holbrook,669,1
101073231443836,Point Molate 4 All,Point Molate 4 All,669,7
102195907907524,Phillip Peters for Kern County Supervisor,Phillip Peters For Supervisor 2020,669,5
69302491713,Freestore Foodbank,"FREESTORE FOODBANK, INC",669,26
515446551984912,Speaker Cameron Sexton,Cameron Sexton for State Representative,669,93
415210501973681,Arizona Center for Reproductive Endocrinology and Infertility,These ads ran without a disclaimer,669,5
167842857168389,The Pressure People,The Pressure People,668,24
154753361224926,CASA in Action,CASA in Action Inc,668,19
110806357012916,Ritesh Tandon for Congress,TANDON FOR CONGRESS,668,62
106990017501860,Senator Scott Wilk,California Alliance for Progress and Education,668,4
1418907401547906,Rescü,"Rescu, LLC",668,58
105772797453328,Saltzman for Sheriff,Committee to Elect Tim Saltzman for Sheriff,667,15
120333829372239,Salvos,Salvos,667,13
102534914643726,Safe and Healthy Communities Initiative,The Pennsylvania State University,666,6
2119525001433847,Rosenberg For Wausau,Rosenberg For Wausau,666,3
102863274537312,Antone for Congress,ANTONE FOR CONGRESS,666,3
219886468037083,West Texas Food Bank,WEST TEXAS FOOD BANK,665,21
673019619376814,Judge Ryan Larson,Political advertising paid for by the Ryan Larson Campaign in compliance with the voluntary limits of the Judicial Campaign Fairness Act,664,3
2046280975668889,LeftvsRightIQ.com,LvR Intelligence LLC,664,30
472828162785819,Outrage of Kankakee County,Darrel W Bruck  Jr,664,6
11162728079,U.S. PIRG,UNITED STATES PUBLIC INTEREST RESEARCH GROUP,664,2
655991761403455,Florida Local News,These ads ran without a disclaimer,663,13
427084097477881,America's Health Insurance Plans (AHIP),America's Health Insurance Plans,663,4
354329797956187,The Catholic Association,"The Catholic Association, Inc",662,5
116064745113092,Neighborhood Sun,Neighborhood Sun,662,30
106364329441748,Margaret W. Wong & Associates,"WONG, MARGARET W & ASSOCIATES CO LPA (INC)",661,4
1497851363851721,QLMS,Quicken Loans Mortgage Services,661,2
101935297991197,Bob Parks Running for Hays County GOP Chair,Bob Parks,660,1
114981689923649,143K Rising,The Pennsylvania Coalition of Public Charter Schools,660,10
34992314695,National Center for Public Policy Research,NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,659,1
236067593685511,BELL 2020,BELL 2020,659,6
939093556283687,Clean Energy Michigan,Clean Energy Michigan,659,17
150681061641282,Tri-State G&T,These ads ran without a disclaimer,659,1
533755033788310,Hoosiers for Fair Energy Policy,Hooisers For Fair Energy & Fair Policy People,658,14
103111377735279,Justice Michael B. Hyman for Appellate Court Judge,Citizens for Hyman,657,2
1339310366116695,Scarsdale Voters Choice Party,Scarsdale Voters Choice Party,657,13
485980975070908,Abigail Spanberger,Spanberger for Congress,657,3
106537020930086,Barry for State Senate,New York State Senate Republican Campaign Committee,657,6
103347187839318,Waste To Energy Facts,These ads ran without a disclaimer,657,8
630738107298449,Everglades Science,Everglades Science LLC,656,3
1632583763671130,Stacey Evans,Friends of Stacey Evans,656,7
991572110884333,Bruce Porter,Porter for Supervisor 2020,656,12
104751804463228,Andrew Clyde for Congress,"CLYDE FOR CONGRESS, INC.",655,4
181467702005600,Mark Warner VA,FRIENDS OF MARK WARNER,654,6
1375618656016062,Deb Haaland for Congress,DEB HAALAND FOR CONGRESS,654,22
104315653000748,Alabama Democratic Conference,Janet C Thomas May,653,14
103316257862246,Cuba Great Again,Carlos None Ramos,652,54
289359554914740,We Have A Stake,The ANCOR Foundation,652,6
115525519830230,ישראל שלנו - Israel Shelanu,Yaakov Cohen,651,5
391156284245995,City of Manhattan Beach,"MANHATTAN BEACH, CITY OF",651,3
617791728363537,LaTonya Johnson,Office of State Senator LaTonya Johnson,651,5
2215801815301019,I Love Retirement,These ads ran without a disclaimer,650,8
110627815623797,Minnesota Pork,Katelyn Ann Gradert,650,4
336481847032355,Judge Michael Alan Strom for 9th Subcircuit,Committee to Elect Judge Michael Strom,650,1
48990004850,Republican Party of Wisconsin,Republican Party of Wisconsin,650,4
876496122734867,Marcia O'Brien Conway for Cook County Circuit Court Judge,Citizens for Marcia O'Brien Conway,650,1
108106047416431,David Hines For State Representative,David R Hines,650,6
708626382532452,Opportunity Scholarship Fund,Opportunity Scholarship Fund,650,9
125448271483814,Bill Bathurst Delray Beach City Commissioner,Bill Bathurst for City Commission,650,13
1479451898832049,Jonathan Clark Green for Judge,"Committee to Elect Jonathan Clark Green, Inc.",650,1
102499901286348,Bold Vision P.C.,BOLD VISION PC,650,6
206232314836,Louisville Democrats,Louisville Democratic Party,650,2
206895066621922,Dave Roberson for Floyd County Sheriff,Citizens for Roberson,649,18
22984054572,Numi Organic Tea,Numi Organic Tea,649,27
111539973572551,Megan Kathleen Mulay for Judge,Friends of Megan Kathleen Mulay,649,13
110440907192856,Mississippi Census,These ads ran without a disclaimer,649,20
104320421005774,Elect Trevor Phillips,Elect Trevor Phillips,648,15
